EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
28.07.2000,22.5549,22.0955,22.9453,14.6447,24.6540,23.6638,24.9510,22.5897,19.0246
31.07.2000,22.2473,21.5017,22.6114,15.7237,24.1958,23.5925,24.4454,22.4683,19.0006
01.08.2000,22.4564,21.6741,22.7757,17.9470,24.4446,23.5601,24.3123,22.5373,18.8291
02.08.2000,22.2791,21.2572,22.6245,17.8112,24.5226,24.0624,24.0245,22.5005,18.8307
03.08.2000,23.1963,22.2022,23.4764,17.0462,25.1170,25.1455,25.0717,23.0769,18.8990
04.08.2000,22.4068,21.2064,22.6845,18.5667,24.6436,24.7538,24.8880,22.9286,18.9945
07.08.2000,22.2459,21.4064,22.3500,18.7790,24.1379,24.6608,24.6778,22.8362,18.9847
08.08.2000,21.9573,21.8337,21.9695,18.6165,23.7256,24.4306,24.5273,22.7464,18.9284
09.08.2000,21.7924,20.4878,21.8884,18.8460,23.6760,24.4397,24.4997,22.7499,18.9149
10.08.2000,21.2950,20.1004,21.3603,18.8926,23.6974,24.1373,24.3978,22.6086,18.8618
11.08.2000,21.1817,19.0454,21.2626,18.8251,23.8570,24.1484,24.4329,22.5659,18.8884
14.08.2000,20.6699,21.1175,20.6663,18.8765,23.5765,23.7836,24.2986,22.5313,18.8492
15.08.2000,20.6954,22.2471,20.6913,18.9286,23.5553,23.9969,24.3033,22.6026,19.1183
16.08.2000,20.2856,22.2358,20.3054,18.8517,23.0890,23.7295,24.1241,22.5120,19.0713
17.08.2000,20.2180,NA,20.3320,18.7468,23.1499,23.8240,24.4673,22.8641,19.1241
18.08.2000,19.9080,NA,19.8446,20.3156,23.1951,23.6234,24.6176,23.0043,19.2028
21.08.2000,19.9801,19.8516,20.2799,11.8011,22.7823,23.4794,23.7426,22.9188,19.1355
